stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
n7019570855,,Elamkunnapuzha,,10.0305633,76.2219472,,,0,,,0
n7019570856,,Elamkunnapuzha,,10.0307343,76.2219897,,,0,,,0
n7019570857,,Perumpilly,,10.0356491,76.2205424,,,0,,,0
n7019570858,,Perumpilly,,10.0361177,76.2202792,,,0,,,0
n7019570862,,Hospital Junction,,10.0409724,76.2190011,,,0,,,0
n7019570863,,Hospital Junction,,10.0419123,76.2187302,,,0,,,0
n7019570864,,Njarackal,,10.0467028,76.2174547,,,0,,,0
n7019570866,,Mampilly,,10.048835,76.2168632,,,0,,,0
n7019570867,,Mampilly,,10.0488549,76.2169362,,,0,,,0
n7019570868,,Maanattuparambu,,10.0529277,76.2153837,,,0,,,0
n7019570870,,Veliyatham Parambu,,10.0567833,76.2150498,,,0,,,0
n7019570871,,kudungasseri,,10.0596219,76.213991,,,0,,,0
n7019570872,,kudungasseri,,10.0596311,76.2140667,,,0,,,0
n7019570873,,kochambalam,,10.0632687,76.2131392,,,0,,,0
n7019570874,,kochambalam,,10.0633606,76.2132047,,,0,,,0
n7019570875,,ATH,,10.0664302,76.2128566,,,0,,,0
n7019570876,,Nayarambalam,,10.0721065,76.2117953,,,0,,,0
n7019609343,,Ayyampilly,,10.1262901,76.1982845,,,0,,,0
n7019609344,,Palli Hospital,,10.1157207,76.2008723,,,0,,,0
n7019609345,,Palli Hospital,,10.1155832,76.2010211,,,0,,,0
n7019609346,,Janatha,,10.1212089,76.1992747,,,0,,,0
n7019609347,,Vadakekkara,,10.1177574,76.2000745,,,0,,,0
n7019609348,,Ramavarma,,10.1282258,76.1977489,,,0,,,0
n7019609349,,Ramavarma,,10.1282337,76.1978319,,,0,,,0
n7019609351,,Gowreeswaram,,10.1323847,76.1963925,,,0,,,0
n7019609353,,Devaswam nada,,10.1392946,76.1948071,,,0,,,0
n7019697468,,Devaswam nada,,10.1387686,76.1944881,,,0,,,0
n7021264003,,Kaalamukku,,9.9824079,76.2414167,,,0,,,0
n7021264004,,Kaalamukku,,9.9823641,76.2409292,,,0,,,0
n7021264005,,Murikkumpaadam,,9.99025,76.2389909,,,0,,,0
n7021264006,,Murikkumpaadam,,9.9901588,76.2391089,,,0,,,0
n7052794239,,Vadakekkara,,10.1176422,76.2002476,,,0,,,0
n7052794240,,Palli,,10.1396021,76.1991468,,,0,,,0
n7052794241,,Perumpadanna Bridge,,10.1431903,76.2120193,,,0,,,0
n7052794242,,Perumpadanna Bridge,,10.143157,76.2123319,,,0,,,0
n7052794244,,Perumpadanna,,10.1438874,76.2167223,,,0,,,0
n7052794245,,Perumpadanna,,10.1437566,76.216514,,,0,,,0
n7052794250,,Prabhus,,10.1441584,76.2202308,,,0,,,0
n7052794251,,Prabhus,,10.1441,76.2205598,,,0,,,0
n7052794252,,High Court,,9.9839186,76.2737822,,,0,,,0
n7052794253,,High Court,,9.9839915,76.2739705,,,0,,,0
n7052794270,,Bolgatty,,9.9913932,76.264957,,,0,,,0
n7052794271,,Vallarpadam,,9.9857711,76.2506919,,,0,,,0
n7052794272,,Vallarpadam,,9.9859128,76.2504918,,,0,,,0
n7052794273,,SeaFood,,9.9866036,76.2402536,,,0,,,0
n7052794274,,SeaFood,,9.9867106,76.2403216,,,0,,,0
n7060336594,,Boat Jetty Junction,,9.9736594,76.2810595,,,0,,,0
n7068947210,,Elamkulam,,9.9676489,76.3049747,,,0,,,0
n7068947211,,Elamkulam,,9.9678782,76.3050171,,,0,,,0
n7080379200,,School muttam,,10.0103156,76.2301519,,,0,,,0
n7083824551,,School muttam,,10.0101016,76.2301332,,,0,,,0
n7083824552,,Thekkan malippuram,,9.9947171,76.2371959,,,0,,,0
n7083824553,,Thekkan malippuram,,9.9947966,76.2373141,,,0,,,0
n7084389851,,Cherai Bridge,,10.1409528,76.203369,,,0,,,0
n7084389852,,Cherai Bridge,,10.14089,76.2034965,,,0,,,0
n7086058489,,Vallarpadam Junction,,9.987103,76.2536975,,,0,,,0
n7086058490,,Vallarpadam Junction,,9.9868419,76.2535664,,,0,,,0
n7097918159,,Kaalamukku,,9.9818807,76.2410691,,,0,,,0
n7097918160,,Panikkaru Padi,,9.9782814,76.2409844,,,0,,,0
n7097918161,,Panikkaru Padi,,9.978214,76.2409247,,,0,,,0
n7098248597,,Devaswam nada,,10.1393801,76.1942517,,,0,,,0
n7098248598,,Karuthala,,10.1434085,76.1920186,,,0,,,0
n7098248599,,Karuthala,,10.1434744,76.1920906,,,0,,,0
n7098248600,,bakery stop,,10.1482361,76.1901892,,,0,,,0
n7098248601,,bakery stop,,10.148141,76.1903201,,,0,,,0
n7098248602,,smhss,,10.150961,76.1899292,,,0,,,0
n7098248603,,smhss,,10.1507725,76.1899272,,,0,,,0
n7099924088,,North Paravur,,10.1494882,76.2317097,,,0,,,0
n7099984219,,Nedungad,,10.068898,76.2231817,,,0,,,0
n7102015085,,Janatha,,10.1564617,76.1873997,,,0,,,0
n7102015086,,Janatha,,10.1566726,76.187481,,,0,,,0
n7102015087,,Kolothumkadavu,,10.1607058,76.1844289,,,0,,,0
n7102015088,,Kolothumkadavu,,10.1608085,76.1845333,,,0,,,0
n7102015089,,Convent,,10.1641333,76.1829519,,,0,,,0
n7102015090,,Convent,,10.1641686,76.1830759,,,0,,,0
