line_id,route_id,line_name,route_name
r13876608,r13876606,Chittethukara ↔ Konthuruthy,Konthuruthy → Chittethukara
r13876608,r13876607,Chittethukara ↔ Konthuruthy,Chittethukara → Konthuruthy
r13876614,r13876613,Kakkanad CEPZ ↔ Perumpadappu,Kakkanad CEPZ → Perumpadappu
r13876614,r13876612,Kakkanad CEPZ ↔ Perumpadappu,Perumpadappu → Kakkanad CEPZ
r13876620,r13876619,Edachira ↔ Thevara Ferry,Edachira → Thevara Ferry
r13876620,r13876618,Edachira ↔ Thevara Ferry,Thevara Ferry → Edachira
r13876626,r13876624,Chittethukara ↔ Ernakulam South,Ernakulam South → Chittethukara
r13876626,r13876625,Chittethukara ↔ Ernakulam South,Chittethukara → Ernakulam South
r13876636,r13876634,Thevakkal ↔ Thevara Ferry,Thevakkal → Thevara Ferry
r13876636,r13876635,Thevakkal ↔ Thevara Ferry,Thevara Ferry → Thevakkal
r13876652,r13876650,Thevakkal ↔ Edakochi,Edakochi → Thevakkal
r13876652,r13876651,Thevakkal ↔ Edakochi,Thevakkal → Edakochi
r13876655,r13876653,Nilampathijamukal ↔ Mundamveli,Mundamveli → Nilampathijamukal
r13876655,r13876654,Nilampathijamukal ↔ Mundamveli,Nilampathijamukal → Mundamveli
r13876681,r13876679,Kavumthazham ↔ Thrippoonithura,Kavumthazham → Thrippoonithura
r13876681,r13876680,Kavumthazham ↔ Thrippoonithura,Thrippoonithura → Kavumthazham
r13876761,r13876760,Chittethukara ↔ Poothotta (via Padma),Chittethukara → Poothotta
r13876761,r13876759,Chittethukara ↔ Poothotta (via Padma),Poothotta → Chittethukara
r13876773,r13876772,Chittethukara ↔ Poothotta (via Bypass),Chittethukara → Poothotta
r13876773,r13876771,Chittethukara ↔ Poothotta (via Bypass),Poothotta → Chittethukara
r13876836,r13876835,Nilampathijamukal ↔ Thevara Ferry,Nilampathijamukal → Thevara Ferry
r13876836,r13876834,Nilampathijamukal ↔ Thevara Ferry,Thevara Ferry → Nilampathijamukal
r13876839,r13876838,Fort Kochi ↔ Nilampathijamukal,Fort Kochi → Nilampathijamukal
r13876839,r13876837,Fort Kochi ↔ Nilampathijamukal,Nilampathijamukal → Fort Kochi
r13876847,r13876846,Kakkanad ↔ Kaloor,Kakkanad → Kaloor
r13876847,r13876845,Kakkanad ↔ Kaloor,Kaloor → Kakkanad
r13876859,r13876857,Kakkanad CEPZ ↔ Edakochi,Edakochi → Kakkanad CEPZ
r13876859,r13876858,Kakkanad CEPZ ↔ Edakochi,Kakkanad CEPZ → Edakochi
r13876903,r13876902,Kakkanad ↔ Medical College,Kakkanad → Medical College
r13876903,r13876901,Kakkanad ↔ Medical College,Medical College → Kakkanad
r13876930,r13876929,Amrutha Hospital ↔ North Paravur,Amrutha Hospital → North Paravur
r13876930,r13876928,Amrutha Hospital ↔ North Paravur,North Paravur → Amrutha Hospital
r13880472,r13880471,Kakkanad ↔ Kaloor,Kakkanad → Kaloor
r13880472,r13880470,Kakkanad ↔ Kaloor,Kaloor → Kakkanad
r13880518,r13880516,Kinfra ↔ Thrippoonithura,Kinfra → Thrippoonithura
r13880518,r13880517,Kinfra ↔ Thrippoonithura,Thrippoonithura → Kinfra
r13880777,r13880776,HMT Colony Junction ↔ Thrippoonithura,HMT Colony Junction → Thrippoonithura
r13880777,r13880775,HMT Colony Junction ↔ Thrippoonithura,Thrippoonithura → HMT Colony Junction
r13880914,r13880913,BM College ↔ Thrippoonithura,BM College → Thrippoonithura
r13880914,r13880912,BM College ↔ Thrippoonithura,Thrippoonithura → BM College
r13880993,r13880991,Padathikkara ↔ Thoppumpady,Padathikkara → Thoppumpady
r13880993,r13880992,Padathikkara ↔ Thoppumpady,Thoppumpady → Padathikkara
r13881199,r13881198,Padathikkara ↔ Thrippoonithura,Padathikkara → Thrippoonithura
r13881199,r13881197,Padathikkara ↔ Thrippoonithura,Thrippoonithura → Padathikkara
r13881291,r13881289,Kinfra ↔ Kundannoor,Kinfra → Kundannoor
r13881291,r13881290,Kinfra ↔ Kundannoor,Kundannoor → Kinfra
r13881313,r13881311,Kinfra ↔ Thoppumpady,Kinfra → Thoppumpady
r13881313,r13881312,Kinfra ↔ Thoppumpady,Thoppumpady → Kinfra
r13881342,r13881341,HMT Junction ↔ Thoppumpady,HMT Junction → Thoppumpady
r13881342,r13881340,HMT Junction ↔ Thoppumpady,Thoppumpady → HMT Junction
r13881364,r13881362,HMT Junction ↔ Kundannoor,HMT Junction → Kundannoor
r13881364,r13881363,HMT Junction ↔ Kundannoor,Kundannoor → HMT Junction
r13881373,r13881372,Thrippoonithura ↔ Kalamassery,Kalamassery → Thrippoonithura
r13881373,r13881371,Thrippoonithura ↔ Kalamassery,Thrippoonithura → Kalamassery
r13881389,r13881387,Kakkanad ↔ Kalamassery,Kakkanad → Kalamassery
r13881389,r13881388,Kakkanad ↔ Kalamassery,Kalamassery → Kakkanad
r13881486,r13881484,Mulanthuruthy ↔ Kakkanad,Kakkanad → Mulanthuruthy
r13881486,r13881485,Mulanthuruthy ↔ Kakkanad,Mulanthuruthy → Kakkanad
r13881505,r13881503,Thrippoonithura ↔ Edachira,Edachira → Thrippoonithura
r13881505,r13881504,Thrippoonithura ↔ Edachira,Thrippoonithura → Edachira
r13881512,r13881510,Thrippoonithura ↔ HMT Junction,HMT Junction → Thrippoonithura
r13881512,r13881511,Thrippoonithura ↔ HMT Junction,Thrippoonithura → HMT Junction
r13881577,r13881576,Kakkanad ↔ Poothotta,Kakkanad → Poothotta
r13881577,r13881575,Kakkanad ↔ Poothotta,Poothotta → Kakkanad
r13881584,r13881583,Rajagiri ↔ High Court,High Court → Rajagiri
r13881584,r13881582,Rajagiri ↔ High Court,Rajagiri → High Court
r13881608,r13881607,Chellanam ↔ Kothad ferry,Chellanam → Kothad ferry
r13881608,r13881606,Chellanam ↔ Kothad ferry,Kothad ferry → Chellanam
r13881616,r13881614,Perumbavoor ↔ Wellington Island,Perumbavoor → Wellington Island
r13881616,r13881615,Perumbavoor ↔ Wellington Island,Wellington Island → Perumbavoor
r13881662,r13881661,High Court ↔ Kottuvally,High Court → Kottuvally
r13881662,r13881660,High Court ↔ Kottuvally,Kottuvally → High Court
r13881684,r13881682,Ambalamugal ↔ Kakkanad,Ambalamugal → Kakkanad
r13881684,r13881683,Ambalamugal ↔ Kakkanad,Kakkanad → Ambalamugal
r13881708,r13881706,Kalamassery ↔ Mulanthuruthy,Kalamassery → Mulanthuruthy
r13881708,r13881707,Kalamassery ↔ Mulanthuruthy,Mulanthuruthy → Kalamassery
r13881745,r13881744,Ernakulam South ↔ Perumpadappu,Ernakulam South → Perumpadappu
r13881745,r13881743,Ernakulam South ↔ Perumpadappu,Perumpadappu → Ernakulam South
r13881798,r13881797,Poothotta ↔ Thrippoonithura,Poothotta → Thrippoonithura
r13881798,r13881796,Poothotta ↔ Thrippoonithura,Thrippoonithura → Poothotta
r13881820,r13881818,Poothotta ↔ Kakkanad CEPZ,Kakkanad CEPZ → Poothotta
r13881820,r13881819,Poothotta ↔ Kakkanad CEPZ,Poothotta → Kakkanad CEPZ
r13881825,r13881823,Thrippoonithura ↔ Kakkanad CEPZ,Kakkanad CEPZ → Thrippoonithura
r13881825,r13881824,Thrippoonithura ↔ Kakkanad CEPZ,Thrippoonithura → Kakkanad CEPZ
r13881885,r13881883,Ambalamugal ↔ Thrippoonithura,Ambalamugal → Thrippoonithura
r13881885,r13881884,Ambalamugal ↔ Thrippoonithura,Thrippoonithura → Ambalamugal
r13881908,r13881906,Thrippoonithura ↔ Elamakkara,Elamakkara → Thrippoonithura
r13881908,r13881907,Thrippoonithura ↔ Elamakkara,Thrippoonithura → Elamakkara
r13881936,r13881935,Thrippoonithura ↔ Thrippoonithura,Thrippoonithura → Thrippoonithura
r13882036,r13882035,Chottanikkara ↔ High Court,Chottanikkara → High Court
r13882036,r13882034,Chottanikkara ↔ High Court,High Court → Chottanikkara
r13882058,r13882056,Kaloor ↔ Aroor,Aroor → Kaloor
r13882058,r13882057,Kaloor ↔ Aroor,Kaloor → Aroor
r13882166,r13882165,Vyttila ↔ Perumbavoor,Perumbavoor → Vyttila
r13882166,r13882164,Vyttila ↔ Perumbavoor,Vyttila → Perumbavoor
r13882191,r13882189,Kaloor ↔ Poothotta,Kaloor → Poothotta
r13882191,r13882190,Kaloor ↔ Poothotta,Poothotta → Kaloor
r13884598,r13884597,Amrutha Hospital ↔ Ankamaly,Amrutha Hospital → Ankamaly
r13884598,r13884596,Amrutha Hospital ↔ Ankamaly,Ankamaly → Amrutha Hospital
