line_id,route_id,line_name,route_name
r13606972,r13606971,Aluva ↔ Keezhmadu,Keezhmadu → Aluva
r13609456,r13609455,High Court ↔ Njarakkal (via Vypin and Light House),High Court → Njarakkal
r13609456,r13609454,High Court ↔ Njarakkal (via Vypin and Light House),Njarakkal → High Court
r13610212,r13610211,High Court ↔ Poothotta,High Court → Poothotta
r13610212,r13610210,High Court ↔ Poothotta,Poothotta → High Court
r13610332,r13610330,Kakkanad ↔ Konthuruthy,Kakkanad → Konthuruthy
r13610332,r13610331,Kakkanad ↔ Konthuruthy,Konthuruthy → Kakkanad
r13610565,r13610564,Cheranelloor ↔ Perumpadappu,Cheranelloor → Perumpadappu
r13610565,r13610563,Cheranelloor ↔ Perumpadappu,Perumpadappu → Cheranelloor
r13610651,r13610650,Cheranelloor ↔ Kadavanthra,Cheranelloor → Kadavanthra
