line_id,name,code,colour,operator,network,mode,frequency,opening_hours,frequency_exceptions,charge,wheelchair,shape
r10512380,Fort Kochi bus route,,,Private Red Bus,,bus,,,,,,
r10831465,Fort Kochi - Vypin Ro Ro,,,,,ferry,,,,,,"MULTILINESTRING((76.2450662 9.968611,76.2454026 9.973139,76.2453431 9.9733699,76.2451048 9.9735477,76.2445432 9.9738395),(76.2450662 9.968611,76.2454026 9.973139,76.2453431 9.9733699,76.2451048 9.9735477,76.2445432 9.9738395))"
