stop_point_id,name,latitude,longitude,local_ref,wheelchair,shelter
n4769428932,Kunnumpuram,10.0432261,76.2990611,,,yes
n4769436232,Petta,9.9501589,76.3320668,,,
n4769436233,Champakkara,9.9547409,76.3275696,,,
n4769436235,Vytilla Junction,9.969624,76.3179598,,,yes
n4792523923,Kochveli Junction,9.8347671,76.3093102,,,yes
n4792530422,Aroor Bypass,9.878038,76.3038187,,,no
n4805940485,Kunnumpuram,10.0434863,76.2986487,,,yes
n4889056845,Aluva Police Station,10.1029556,76.3584376,,,no
n5145335691,St Alberts College,9.9852674,76.279563,,,yes
n5240431892,Menaka,9.9776802,76.2769397,,,yes
n5261851010,Athani,10.1565933,76.354767,,,yes
n5295234430,Medical Trust Hospital,9.9631509,76.2879268,,,yes
n5377832022,Hill Palace,9.9519381,76.3613205,,,no
n5377841321,Vadakkekotta,9.9531132,76.3404726,,,yes
n5379782848,Manorama Junction,9.9659299,76.2952354,,,
n5423779221,Edappally Lulu,10.0281091,76.3099185,,,no
n5524950666,Kodikuthmala,10.0814506,76.3644444,,,no
n5756729629,Bolgatty,9.9910377,76.2648026,,,no
n5756729631,Kunnumpuram,9.9640554,76.2456927,,,yes
n5757830236,Vathimattom,10.0568213,76.4568369,,,no
n5757830237,Bank Junction,10.058933,76.4594366,,,no
n5757830238,Chelakkulam,10.0515189,76.4492134,,,no
n5757830239,Jai Bharath College,10.0540438,76.4530939,,,no
n5757830240,Bhandarakkavala,10.043435,76.4485546,,,yes
n5757830241,Double Paalam,10.030529,76.4488305,,,no
n5757830243,Kummanod,10.0387971,76.4501526,,,no
n5757830250,Vilangu,10.0506459,76.4274615,,,
n5757830255,Pancode Junction,10.0051031,76.4401241,,,no
n5757830256,Pulinchode Junction,10.0074969,76.4419958,,,no
n5757830264,Sevana Padi,10.040359,76.413688,,,no
n5757830266,Kizhakkambalam,10.0362603,76.4079875,,,yes
n5757830267,Achappan Kavala,10.030862,76.408022,,,no
n5757830268,Morakkala Church,10.017612,76.4022274,,,no
n5757830270,Peechingachira,9.9896721,76.4092813,,,no
n5757830271,Rajashree Kavala,9.9859156,76.4117488,,,yes
n5757830272,Kollappady,9.9903452,76.4209181,,,yes
n5757830273,Colony,9.9919044,76.4056191,,,no
n5757830275,Pannikuzhy,9.973352,76.417762,,,no
n5757830277,Pukkattupady,10.059481,76.3953945,,,no
n5757830278,Wonderla,10.0283562,76.3932956,,,no
n5757830279,Manakkakadavu Toll,10.0294759,76.3855902,,,yes
n5757830280,Pallithazham,10.0296291,76.3897504,,,no
n5757830281,Padathikara,10.0012286,76.3944375,,,no
n5757830283,FACT Club,9.9843969,76.3955826,,,yes
n5757830284,Harimattam Ambalam,9.9858864,76.3919432,,,yes
n5757830285,Ambalamedu Post Office,9.9836258,76.3892634,,,yes
n5757830286,Kuzhikkad,9.9779433,76.3849696,,,no
n5757830287,Chakku Company,9.9945697,76.396456,,,no
n5757830289,HOC,9.9707313,76.3810613,,,no
n5757830290,Cochin Refinery,9.9691994,76.3783832,,,no
n5757830291,Jwalagiri,9.9754332,76.3813003,,,no
n5757830292,Kuzhivelippady,10.0492144,76.3719935,,,no
n5757830293,Infopark,10.015181,76.3635859,,,yes
n5757830294,Kollanpady,9.9565995,76.3655254,,,no
n5757830295,Makaliyam,9.9626114,76.3578975,,,yes
n5757830296,IOC,9.9635121,76.3742254,,,yes
n5757830297,Irumpanam Puthiya Road,9.9569252,76.3583688,,,yes
n5757830298,Chitrapuzha,9.959266,76.3671193,,,yes
n5757830299,HMT Machine Tools,10.049139,76.3405265,,,no
n5757830300,HMT Colony,10.0544878,76.3550784,,,no
n5757830303,Judgemukku,10.0352989,76.3339983,,,yes
n5757830304,Vallathol Padi,10.03625,76.337898,,,no
n5757830306,Ambadimoola,10.0218242,76.3379308,,,yes
n5757830308,Akashavani Junction,10.012932,76.3416197,,,no
n5757830310,CSEZ,10.0063114,76.3449508,,,no
n5757830311,Kuzhikattumoola Palli,10.0154935,76.3544365,,,no
n5757830312,Chittethukara,10.0018931,76.3494528,,,no
n5757830313,Adarsha Junction,10.0039642,76.3467835,,,no
n5757830315,Chittethukara Bus Stand,9.9982299,76.3507222,,,yes
n5757830316,Rajagiri,9.9955153,76.3515446,,,yes
n5757830317,Indian Oil,9.9826107,76.3524657,,,yes
n5757830318,Vettikkavu,9.9770592,76.3539899,,,no
n5757830319,BPCL,9.979512,76.3532007,,,yes
n5757830521,Mathoor Junction,9.9730249,76.3364359,,,
n5757830523,Azad Junction,9.9582171,76.3431309,,,yes
n5757830524,Kadathu Kadavu,9.9749361,76.3545653,,,no
n5757830525,Puthiya Road Junction,9.9653368,76.3401917,,,no
n5757830526,Illikkappady,9.970773,76.3376072,,,no
n5757830527,Pottayil,9.9623991,76.3413903,,,no
n5757830529,Govt ITI,10.0538965,76.3280263,,,yes
n5757830534,South Kalamassery,10.0490468,76.3190748,,,yes
n5757830535,Pathadipalam,10.0381928,76.3154373,,,yes
n5757830536,Koonamthai,10.0332828,76.3129139,,,yes
n5757830537,Club Junction,10.027596,76.3156074,,,no
