line_id,route_id,line_name,route_name,direction
r13689658,r13689657,Aluva ↔ Vyttila Mobility Hub,Aluva → Vyttila Mobility Hub,forward
r13689658,r13689656,Aluva ↔ Vyttila Mobility Hub,Vyttila Mobility Hub → Aluva,backward
r13691656,r13691655,Cherai ↔ Ernakulam Boat Jetty,Cherai → Ernakulam Boat Jetty,forward
r13691656,r13691654,Cherai ↔ Ernakulam Boat Jetty,Ernakulam Boat Jetty → Cherai,backward
r13718237,r13586169,Kaloor ↔ Poothotta (via Padma),Kaloor → Poothotta,unknown
r13718237,r13718235,Kaloor ↔ Poothotta (via Padma),Poothotta → Kaloor,unknown
r13718887,r13718886,Fort Kochi ↔ Puthukkalavattom,Fort Kochi → Puthukkalavattom,forward
r13718887,r13718885,Fort Kochi ↔ Puthukkalavattom,Puthukkalavattom → Fort Kochi,backward
r13718986,r13718985,Poothotta ↔ Puthukkalavattom,Poothotta → Puthukkalavattom,forward
r13718986,r13718984,Poothotta ↔ Puthukkalavattom,Puthukkalavattom → Poothotta,backward
r13719331,r13719330,Chottanikkara ↔ Puthukkalavattom,Chottanikkara → Puthukkalavattom,forward
r13719331,r13719329,Chottanikkara ↔ Puthukkalavattom,Puthukkalavattom → Chottanikkara,backward
r13724742,r13724741,Cheranellore ↔ Thrippoonithura (via Maradu),Cheranellore → Thrippoonithura,unknown
r13724742,r13724740,Cheranellore ↔ Thrippoonithura (via Maradu),Thrippoonithura → Cheranellore,unknown
r13725408,r13725407,Perumbavoor ↔ Thevara,Perumbavoor → Thevara,forward
r13725408,r13725406,Perumbavoor ↔ Thevara,Thevara → Perumbavoor,backward
r13725470,r13725469,Chellanam ↔ Methanam,Chellanam → Methanam,forward
r13725470,r13725468,Chellanam ↔ Methanam,Methanam → Chellanam,backward
r13725518,r13725517,Chittethukara ↔ Thevara,Chittethukara → Thevara,forward
r13725518,r13725516,Chittethukara ↔ Thevara,Thevara → Chittethukara,backward
r13749933,r13749932,High Court ↔ Njarakkal (via Light House),High Court → Njarakkal,unknown
r13749933,r13749931,High Court ↔ Njarakkal (via Light House),Njarakkal → High Court,unknown
r13749958,r13749957,High Court ↔ Njarakkal,High Court → Njarakkal,forward
r13749958,r13749956,High Court ↔ Njarakkal,Njarakkal → High Court,backward
r13749971,r13749970,High Court ↔ Njarakkal (via Vypin),High Court → Njarakkal,unknown
r13749971,r13749969,High Court ↔ Njarakkal (via Vypin),Njarakkal → High Court,unknown
r13750047,r13750046,Aluva ↔ Ernakulam South (via Menaka),Aluva → Ernakulam South,unknown
r13750047,r13750045,Aluva ↔ Ernakulam South (via Menaka),Ernakulam South → Aluva,unknown
r13750103,r13750102,Aluva ↔ Wellington Island (via Menaka),Aluva → Wellington Island,unknown
r13750103,r13750101,Aluva ↔ Wellington Island (via Menaka),Wellington Island → Aluva,unknown
r13750121,r13750120,Aluva ↔ Chittoorferry,Aluva → Chittoorferry,forward
r13750121,r13750119,Aluva ↔ Chittoorferry,Chittoorferry → Aluva,backward
r13750132,r13750131,Chittoor Temple ↔ Thevara,Chittoor Temple → Thevara,forward
r13750132,r13750130,Chittoor Temple ↔ Thevara,Thevara → Chittoor Temple,backward
r13750190,r13750189,Eloor ↔ Poothotta (via Menaka),Eloor → Poothotta,unknown
r13750190,r13750188,Eloor ↔ Poothotta (via Menaka),Poothotta → Eloor,unknown
r13750199,r13750198,Chellanam ↔ High Court,Chellanam → High Court,forward
r13750199,r13750197,Chellanam ↔ High Court,High Court → Chellanam,backward
r13750240,r13750239,Eloor ferry ↔ Gandhinagar,Eloor ferry → Gandhinagar,forward
r13750240,r13750238,Eloor ferry ↔ Gandhinagar,Gandhinagar → Eloor ferry,backward
r13750380,r13750379,"Vyttila Mobility Hub ↔ Vyttila Mobility Hub (anti-clockwise, via Palarivattom Bypass, Kadavanthara)",Vyttila Mobility Hub → Vyttila Mobility Hub,unknown
r13750469,r13750468,"Vyttila Mobility Hub ↔ Vyttila Mobility Hub (clockwise, via Kadavanthara and Thamannam)",Vyttila Mobility Hub → Vyttila Mobility Hub,unknown
r13750488,r13750487,Aluva ↔ Edakochi,Aluva → Edakochi,forward
r13750488,r13750486,Aluva ↔ Edakochi,Edakochi → Aluva,backward
r13750598,r13750597,Thrippoonithura ↔ Thrippoonithura,Thrippoonithura → Thrippoonithura,forward
r13750640,r13750639,Chottanikkara ↔ Elamakkara,Chottanikkara → Elamakkara,forward
r13750640,r13750638,Chottanikkara ↔ Elamakkara,Elamakkara → Chottanikkara,backward
r13750694,r13750693,Kakkanad ↔ North Paravur,Kakkanad → North Paravur,forward
r13750694,r13750692,Kakkanad ↔ North Paravur,North Paravur → Kakkanad,backward
r13754397,r13754396,Edakochi ↔ Thuthiyoor,Edakochi → Thuthiyoor,forward
r13754397,r13754395,Edakochi ↔ Thuthiyoor,Thuthiyoor → Edakochi,backward
